,file,algorithm,slots,runtime
98,data_50-0.08-5840.in,code1,3,2.648497e+00
99,data_50-0.08-5840.in,code2,3,2.693476e+00
100,data_70-0.04-8105.in,code1,-1,1.000000e+02
101,data_70-0.04-8105.in,code2,-1,1.000000e+02
102,data_50-0.64-9665.in,code1,-1,1.000000e+02
103,data_50-0.64-9665.in,code2,-1,1.000000e+02
104,data_80-0.02-6194.in,code1,3,1.507263e+01
105,data_80-0.02-6194.in,code2,3,1.512623e+01
106,data_80-0.64-5855.in,code1,-1,1.000000e+02
107,data_80-0.64-5855.in,code2,-1,1.000000e+02
108,data_60-0.08-2783.in,code1,4,7.088514e+01
109,data_60-0.08-2783.in,code2,4,7.182840e+01
110,data_60-0.02-3648.in,code1,2,8.290000e-04
111,data_60-0.02-3648.in,code2,2,3.000000e-05
112,data_70-0.08-6573.in,code1,4,2.108744e+01
113,data_70-0.08-6573.in,code2,4,2.100918e+01
114,data_30-0.04-183.in,code1,2,1.640000e-04
115,data_30-0.04-183.in,code2,2,2.400000e-05
116,data_50-0.02-9544.in,code1,2,1.196900e-02
117,data_50-0.02-9544.in,code2,2,1.263200e-02
118,data_2-0.32-1278.in,code1,2,1.000000e-06
119,data_2-0.32-1278.in,code2,2,2.000000e-06
120,data_10-0.08-6930.in,code1,2,1.600000e-05
121,data_10-0.08-6930.in,code2,2,5.000000e-06
122,data_10-0.16-3749.in,code1,2,2.200000e-05
123,data_10-0.16-3749.in,code2,2,5.000000e-06
124,data_80-0.02-6489.in,code1,-1,1.000000e+02
125,data_80-0.02-6489.in,code2,-1,1.000000e+02
126,data_90-0.02-6194.in,code1,-1,1.000000e+02
127,data_90-0.02-6194.in,code2,-1,1.000000e+02
128,data_50-0.08-6489.in,code1,3,2.517307e+01
129,data_50-0.08-6489.in,code2,3,2.541738e+01
130,data_50-0.16-334.in,code1,-1,1.000000e+02
131,data_50-0.16-334.in,code2,-1,1.000000e+02
132,data_70-0.64-5855.in,code1,-1,1.000000e+02
133,data_70-0.64-5855.in,code2,-1,1.000000e+02
134,data_10-0.32-9665.in,code1,3,2.200000e-05
135,data_10-0.32-9665.in,code2,3,8.000000e-06
136,data_20-0.64-183.in,code1,7,1.107000e-02
137,data_20-0.64-183.in,code2,7,1.319900e-02
138,data_30-0.64-8105.in,code1,9,2.604170e+01
139,data_30-0.64-8105.in,code2,9,2.657437e+01
140,data_2-0.08-9544.in,code1,2,1.000000e-06
141,data_2-0.08-9544.in,code2,2,2.000000e-06
142,data_2-0.08-2783.in,code1,1,2.000000e-06
143,data_2-0.08-2783.in,code2,2,2.000000e-06
144,data_40-0.04-6194.in,code1,3,3.948000e-03
145,data_40-0.04-6194.in,code2,3,7.082000e-03
146,data_20-0.64-3648.in,code1,7,4.111300e-02
147,data_20-0.64-3648.in,code2,7,4.709900e-02
148,data_30-0.16-3648.in,code1,4,4.260000e-04
149,data_30-0.16-3648.in,code2,4,2.830000e-04
150,data_80-0.08-334.in,code1,-1,1.000000e+02
151,data_80-0.08-334.in,code2,-1,1.000000e+02
152,data_30-0.32-6757.in,code1,5,5.318000e-03
153,data_30-0.32-6757.in,code2,5,3.325000e-03
154,data_10-0.04-2783.in,code1,2,1.300000e-05
155,data_10-0.04-2783.in,code2,2,3.000000e-06
156,data_70-0.04-6930.in,code1,3,7.151344e+00
157,data_70-0.04-6930.in,code2,3,7.150035e+00
158,data_40-0.64-6726.in,code1,-1,1.000000e+02
159,data_40-0.64-6726.in,code2,-1,1.000000e+02
160,data_20-0.02-9665.in,code1,2,8.600000e-05
161,data_20-0.02-9665.in,code2,2,1.000000e-05
162,data_70-0.04-3648.in,code1,3,3.394502e+01
163,data_70-0.04-3648.in,code2,3,3.417214e+01
164,data_30-0.08-9544.in,code1,3,7.220000e-04
165,data_30-0.08-9544.in,code2,3,6.750000e-04
166,data_50-0.32-9665.in,code1,-1,1.000000e+02
167,data_50-0.32-9665.in,code2,-1,1.000000e+02
168,data_70-0.04-6194.in,code1,-1,1.000000e+02
169,data_70-0.04-6194.in,code2,-1,1.000000e+02
170,data_90-0.32-487.in,code1,-1,1.000000e+02
171,data_90-0.32-487.in,code2,-1,1.000000e+02
172,data_90-0.02-6757.in,code1,-1,1.000000e+02
173,data_90-0.02-6757.in,code2,-1,1.000000e+02
174,data_80-0.04-6930.in,code1,-1,1.000000e+02
175,data_80-0.04-6930.in,code2,-1,1.000000e+02
176,data_10-0.32-6930.in,code1,3,2.300000e-05
177,data_10-0.32-6930.in,code2,3,1.000000e-05
178,data_100-0.04-8321.in,code1,-1,1.000000e+02
179,data_100-0.04-8321.in,code2,-1,1.000000e+02
180,data_70-0.04-1278.in,code1,3,5.212440e-01
181,data_70-0.04-1278.in,code2,3,5.239970e-01
182,data_50-0.02-4783.in,code1,2,1.091500e-02
183,data_50-0.02-4783.in,code2,2,9.662000e-03
184,data_30-0.02-5855.in,code1,2,1.240000e-04
185,data_30-0.02-5855.in,code2,2,1.000000e-05
186,data_70-0.08-9665.in,code1,-1,1.000000e+02
187,data_70-0.08-9665.in,code2,-1,1.000000e+02
188,data_40-0.02-487.in,code1,2,8.058639e+00
189,data_40-0.02-487.in,code2,2,7.940298e+00
190,data_20-0.02-133.in,code1,2,6.800000e-05
191,data_20-0.02-133.in,code2,2,1.100000e-05
192,data_40-0.64-3401.in,code1,-1,1.000000e+02
193,data_40-0.64-3401.in,code2,-1,1.000000e+02
194,data_30-0.32-6194.in,code1,5,5.060500e-02
