group1,group2,meandiff,p-adj,lower,upper,reject
code1:28:0.45254833995939064,code2:28:0.45254833995939064,-0.0926,0.9,-61.544,61.3587,False
code1:28:0.6400000000000005,code2:28:0.6400000000000005,0.0257,0.9,-61.4256,61.4771,False
code1:2:0.02,code2:2:0.02,-0.0,0.9,-61.4513,61.4513,False
code1:2:0.028284271247461905,code2:2:0.028284271247461905,-0.0,0.9,-61.4513,61.4513,False
code1:2:0.04000000000000001,code2:2:0.04000000000000001,0.0,0.9,-61.4513,61.4513,False
code1:2:0.05656854249492382,code2:2:0.05656854249492382,-0.0,0.9,-61.4513,61.4513,False
code1:2:0.08000000000000002,code2:2:0.08000000000000002,-0.0,0.9,-61.4513,61.4513,False
code1:2:0.11313708498984765,code2:2:0.11313708498984765,0.0,0.9,-65.179,65.179,False
code1:2:0.1600000000000001,code2:2:0.1600000000000001,-0.0,0.9,-65.179,65.179,False
code1:2:0.22627416997969532,code2:2:0.22627416997969532,-0.0,0.9,-61.4513,61.4513,False
code1:2:0.3200000000000002,code2:2:0.3200000000000002,0.0,0.9,-65.179,65.179,False
code1:2:0.45254833995939064,code2:2:0.45254833995939064,0.0,0.9,-61.4513,61.4513,False
code1:2:0.6400000000000005,code2:2:0.6400000000000005,0.0,0.9,-65.179,65.179,False
code1:32:0.02,code2:32:0.02,-0.0002,0.9,-61.4515,61.4512,False
code1:32:0.028284271247461905,code2:32:0.028284271247461905,-0.0002,0.9,-61.4515,61.4512,False
code1:32:0.04000000000000001,code2:32:0.04000000000000001,-0.0001,0.9,-61.4515,61.4512,False
code1:32:0.05656854249492382,code2:32:0.05656854249492382,-0.0005,0.9,-61.4518,61.4508,False
code1:32:0.08000000000000002,code2:32:0.08000000000000002,-0.0016,0.9,-61.4529,61.4498,False
code1:32:0.11313708498984765,code2:32:0.11313708498984765,-0.0006,0.9,-61.4519,61.4507,False
code1:32:0.1600000000000001,code2:32:0.1600000000000001,0.0003,0.9,-61.451,61.4516,False
code1:32:0.22627416997969532,code2:32:0.22627416997969532,-0.0009,0.9,-61.4522,61.4505,False
code1:32:0.3200000000000002,code2:32:0.3200000000000002,-1.2693,0.9,-62.7206,60.182,False
code1:32:0.45254833995939064,code2:32:0.45254833995939064,-0.0317,0.9,-61.483,61.4196,False
code1:32:0.6400000000000005,code2:32:0.6400000000000005,0.1587,0.9,-61.2927,61.61,False
code1:36:0.02,code2:36:0.02,-0.0005,0.9,-61.4518,61.4508,False
code1:36:0.028284271247461905,code2:36:0.028284271247461905,-0.0007,0.9,-61.452,61.4506,False
code1:36:0.04000000000000001,code2:36:0.04000000000000001,-0.0011,0.9,-61.4524,61.4503,False
code1:36:0.05656854249492382,code2:36:0.05656854249492382,-0.0002,0.9,-61.4516,61.4511,False
code1:36:0.08000000000000002,code2:36:0.08000000000000002,-0.0001,0.9,-61.4515,61.4512,False
code1:36:0.11313708498984765,code2:36:0.11313708498984765,-0.001,0.9,-61.4524,61.4503,False
code1:36:0.1600000000000001,code2:36:0.1600000000000001,-0.0018,0.9,-61.4531,61.4495,False
code1:36:0.22627416997969532,code2:36:0.22627416997969532,-0.0054,0.9,-61.4568,61.4459,False
code1:36:0.3200000000000002,code2:36:0.3200000000000002,0.0824,0.9,-61.3689,61.5337,False
code1:36:0.45254833995939064,code2:36:0.45254833995939064,-0.2628,0.9,-61.7141,61.1885,False
code1:36:0.6400000000000005,code2:36:0.6400000000000005,0.0,0.9,-61.4513,61.4513,False
code1:40:0.02,code2:40:0.02,-0.0101,0.9,-61.4615,61.4412,False
code1:40:0.028284271247461905,code2:40:0.028284271247461905,-0.0004,0.9,-61.4518,61.4509,False
code1:40:0.04000000000000001,code2:40:0.04000000000000001,-0.1189,0.9,-61.5702,61.3325,False
code1:40:0.05656854249492382,code2:40:0.05656854249492382,-0.0009,0.9,-61.4523,61.4504,False
code1:40:0.08000000000000002,code2:40:0.08000000000000002,-0.035,0.9,-61.4863,61.4164,False
code1:40:0.11313708498984765,code2:40:0.11313708498984765,0.0003,0.9,-61.451,61.4516,False
code1:40:0.1600000000000001,code2:40:0.1600000000000001,-0.0679,0.9,-61.5192,61.3834,False
code1:40:0.22627416997969532,code2:40:0.22627416997969532,-0.0093,0.9,-61.4606,61.442,False
code1:40:0.3200000000000002,code2:40:0.3200000000000002,0.2191,0.9,-61.2322,61.6705,False
code1:40:0.45254833995939064,code2:40:0.45254833995939064,0.0,0.9,-61.4513,61.4513,False
code1:40:0.6400000000000005,code2:40:0.6400000000000005,0.0,0.9,-61.4513,61.4513,False
code1:44:0.02,code2:44:0.02,-0.005,0.9,-61.4563,61.4463,False
code1:44:0.028284271247461905,code2:44:0.028284271247461905,0.0035,0.9,-61.4479,61.4548,False
code1:44:0.04000000000000001,code2:44:0.04000000000000001,-0.0036,0.9,-61.4549,61.4478,False
code1:44:0.05656854249492382,code2:44:0.05656854249492382,-0.0004,0.9,-61.4517,61.451,False
code1:44:0.08000000000000002,code2:44:0.08000000000000002,-0.0317,0.9,-61.483,61.4196,False
code1:44:0.11313708498984765,code2:44:0.11313708498984765,-0.2409,0.9,-61.6922,61.2105,False
code1:44:0.1600000000000001,code2:44:0.1600000000000001,0.2835,0.9,-61.1678,61.7348,False
code1:44:0.22627416997969532,code2:44:0.22627416997969532,-0.435,0.9,-61.8864,61.0163,False
code1:44:0.3200000000000002,code2:44:0.3200000000000002,0.3474,0.9,-61.1039,61.7987,False
code1:44:0.45254833995939064,code2:44:0.45254833995939064,0.0,0.9,-61.4513,61.4513,False
code1:44:0.6400000000000005,code2:44:0.6400000000000005,0.0,0.9,-61.4513,61.4513,False
code1:48:0.02,code2:48:0.02,-0.0004,0.9,-61.4517,61.4509,False
code1:48:0.028284271247461905,code2:48:0.028284271247461905,-0.0005,0.9,-61.4518,61.4508,False
code1:48:0.04000000000000001,code2:48:0.04000000000000001,0.0028,0.9,-61.4485,61.4542,False
code1:48:0.05656854249492382,code2:48:0.05656854249492382,0.0006,0.9,-61.4508,61.4519,False
code1:48:0.08000000000000002,code2:48:0.08000000000000002,0.0708,0.9,-61.3805,61.5222,False
code1:48:0.11313708498984765,code2:48:0.11313708498984765,-0.0136,0.9,-61.465,61.4377,False
code1:48:0.1600000000000001,code2:48:0.1600000000000001,-0.3434,0.9,-61.7947,61.1079,False
code1:48:0.22627416997969532,code2:48:0.22627416997969532,-1.5464,0.9,-62.9978,59.9049,False
code1:48:0.3200000000000002,code2:48:0.3200000000000002,0.0,0.9,-61.4513,61.4513,False
code1:48:0.45254833995939064,code2:48:0.45254833995939064,0.0,0.9,-61.4513,61.4513,False
code1:48:0.6400000000000005,code2:48:0.6400000000000005,0.0,0.9,-61.4513,61.4513,False
code1:4:0.02,code2:4:0.02,-0.0,0.9,-61.4513,61.4513,False
code1:4:0.028284271247461905,code2:4:0.028284271247461905,-0.0,0.9,-61.4513,61.4513,False
code1:4:0.04000000000000001,code2:4:0.04000000000000001,-0.0,0.9,-61.4513,61.4513,False
code1:4:0.05656854249492382,code2:4:0.05656854249492382,-0.0,0.9,-61.4513,61.4513,False
code1:4:0.08000000000000002,code2:4:0.08000000000000002,-0.0,0.9,-61.4513,61.4513,False
code1:4:0.11313708498984765,code2:4:0.11313708498984765,-0.0,0.9,-61.4513,61.4513,False
code1:4:0.1600000000000001,code2:4:0.1600000000000001,-0.0,0.9,-61.4513,61.4513,False
code1:4:0.22627416997969532,code2:4:0.22627416997969532,-0.0,0.9,-61.4513,61.4513,False
code1:4:0.3200000000000002,code2:4:0.3200000000000002,-0.0,0.9,-61.4513,61.4513,False
code1:4:0.45254833995939064,code2:4:0.45254833995939064,0.0,0.9,-61.4513,61.4513,False
code1:4:0.6400000000000005,code2:4:0.6400000000000005,0.0,0.9,-61.4513,61.4513,False
code1:52:0.02,code2:52:0.02,0.0002,0.9,-61.4511,61.4516,False
code1:52:0.028284271247461905,code2:52:0.028284271247461905,0.0076,0.9,-61.4438,61.4589,False
code1:52:0.04000000000000001,code2:52:0.04000000000000001,-0.0002,0.9,-61.4515,61.4512,False
code1:52:0.05656854249492382,code2:52:0.05656854249492382,-0.0038,0.9,-61.4551,61.4475,False
code1:52:0.08000000000000002,code2:52:0.08000000000000002,-0.0953,0.9,-61.5467,61.356,False
code1:52:0.11313708498984765,code2:52:0.11313708498984765,-0.0476,0.9,-61.4989,61.4038,False
code1:52:0.1600000000000001,code2:52:0.1600000000000001,-0.1425,0.9,-61.5939,61.3088,False
code1:52:0.22627416997969532,code2:52:0.22627416997969532,0.0523,0.9,-61.399,61.5037,False
code1:52:0.3200000000000002,code2:52:0.3200000000000002,0.0,0.9,-61.4513,61.4513,False
code1:52:0.45254833995939064,code2:52:0.45254833995939064,0.0,0.9,-61.4513,61.4513,False
code1:52:0.6400000000000005,code2:52:0.6400000000000005,0.0,0.9,-61.4513,61.4513,False
