Exams,Probability,Seed,Code Type,N,Time
70,0.04,133,code2,3,2.301000e-03
40,0.16,6757,code1,4,5.679000e-03
40,0.16,6757,code2,4,8.642000e-03
20,0.02,6930,code1,2,6.800000e-05
20,0.02,6930,code2,2,6.000000e-06
20,0.32,8321,code1,4,8.600000e-05
20,0.32,8321,code2,4,4.200000e-05
70,0.02,579,code1,3,1.281764e+01
70,0.02,579,code2,3,1.272449e+01
40,0.08,6726,code1,3,1.719000e-03
40,0.08,6726,code2,3,1.423000e-03
2,0.02,487,code1,1,2.000000e-06
2,0.02,487,code2,2,2.000000e-06
40,0.04,9665,code1,3,1.354200e-02
40,0.04,9665,code2,3,1.921400e-02
10,0.16,6489,code1,3,2.100000e-05
10,0.16,6489,code2,3,1.400000e-05
2,0.04,9544,code1,1,2.000000e-06
2,0.04,9544,code2,2,2.000000e-06
2,0.04,183,code1,1,3.000000e-06
2,0.04,183,code2,2,2.000000e-06
30,0.16,3705,code1,4,8.034800e-02
30,0.16,3705,code2,4,8.043800e-02
50,0.04,3401,code1,3,1.173230e-01
50,0.04,3401,code2,3,1.223880e-01
40,0.02,8105,code1,2,4.850000e-04
40,0.02,8105,code2,2,1.440000e-04
60,0.04,183,code1,3,9.410000e-04
60,0.04,183,code2,3,1.040000e-04
10,0.02,3401,code1,2,1.500000e-05
10,0.02,3401,code2,2,4.000000e-06
2,0.32,2783,code1,1,3.000000e-06
2,0.32,2783,code2,2,3.000000e-06
10,0.16,8321,code1,2,1.700000e-05
10,0.16,8321,code2,2,5.000000e-06
30,0.16,6489,code1,3,1.816000e-03
30,0.16,6489,code2,3,1.168000e-03
50,0.04,2405,code1,3,1.493200e-01
50,0.04,2405,code2,3,1.467770e-01
20,0.08,6489,code1,2,1.060000e-04
20,0.08,6489,code2,2,5.700000e-05
80,0.02,1278,code1,3,4.830485e+01
80,0.02,1278,code2,3,4.790033e+01
40,0.16,6573,code1,4,9.640000e-03
40,0.16,6573,code2,4,5.699000e-03
10,0.08,6489,code1,2,1.600000e-05
10,0.08,6489,code2,2,4.000000e-06
30,0.16,4783,code1,4,3.350400e-02
30,0.16,4783,code2,4,2.928900e-02
10,0.16,133,code1,2,1.700000e-05
10,0.16,133,code2,2,5.000000e-06
10,0.08,3648,code1,2,1.600000e-05
10,0.08,3648,code2,2,3.000000e-06
2,0.32,8321,code1,1,3.000000e-06
2,0.32,8321,code2,2,2.000000e-06
70,0.02,334,code1,2,6.483000e-03
70,0.02,334,code2,2,5.102000e-03
40,0.04,183,code1,3,7.488111e+01
40,0.04,183,code2,3,7.487406e+01
70,0.04,487,code1,3,2.050300e-02
70,0.04,487,code2,3,1.979200e-02
60,0.02,9665,code1,2,1.302000e-03
60,0.02,9665,code2,2,1.078000e-03
10,0.02,487,code1,2,1.600000e-05
10,0.02,487,code2,2,5.000000e-06
20,0.04,2275,code1,2,8.600000e-05
20,0.04,2275,code2,2,1.000000e-05
10,0.08,4783,code1,2,2.100000e-05
10,0.08,4783,code2,2,5.000000e-06
2,0.32,2405,code1,1,2.000000e-06
2,0.32,2405,code2,2,1.000000e-06
60,0.04,6757,code1,3,6.995070e-01
60,0.04,6757,code2,3,6.854090e-01
20,0.64,5855,code1,6,2.576000e-03
20,0.64,5855,code2,6,2.717000e-03
30,0.64,7215,code1,9,2.363121e+01
30,0.64,7215,code2,9,2.424528e+01
50,0.04,7215,code1,3,2.011500e-02
50,0.04,7215,code2,3,2.020600e-02
40,0.04,721,code1,3,2.567000e-02
40,0.04,721,code2,3,2.430800e-02
30,0.32,8105,code1,5,1.838140e-01
30,0.32,8105,code2,5,1.859710e-01
2,0.04,9806,code1,1,3.000000e-06
2,0.04,9806,code2,2,2.000000e-06
2,0.08,6194,code1,1,3.000000e-06
2,0.08,6194,code2,2,2.000000e-06
30,0.08,6489,code1,3,3.859000e-03
30,0.08,6489,code2,3,3.436000e-03
60,0.02,9806,code1,3,2.212441e+01
60,0.02,9806,code2,3,2.222109e+01
50,0.02,5840,code1,3,2.287766e+01
50,0.02,5840,code2,3,2.291722e+01
50,0.02,3401,code1,2,6.780000e-04
50,0.02,3401,code2,2,1.260000e-04
20,0.04,6757,code1,3,5.000000e-04
20,0.04,6757,code2,3,4.800000e-04
40,0.16,9806,code1,4,6.146500e-02
40,0.16,9806,code2,4,6.293400e-02
2,0.32,6489,code1,1,2.000000e-06
2,0.32,6489,code2,2,2.000000e-06
20,0.16,5840,code1,3,3.900000e-04
20,0.16,5840,code2,3,2.510000e-04
30,0.04,6726,code1,3,3.844000e-03
30,0.04,6726,code2,3,4.450000e-03
30,0.64,6930,code1,9,9.476761e+01
30,0.64,6930,code2,9,9.512556e+01
2,0.32,7107,code1,2,0.000000e+00
2,0.32,7107,code2,2,2.000000e-06
30,0.16,6573,code1,4,1.617800e-02
30,0.16,6573,code2,4,1.415400e-02
2,0.02,9806,code1,1,3.000000e-06
2,0.02,9806,code2,2,3.000000e-06
2,0.16,6930,code1,1,3.000000e-06
2,0.16,6930,code2,2,2.000000e-06
2,0.64,2783,code1,2,1.000000e-06
2,0.64,2783,code2,2,2.000000e-06
2,0.02,9544,code1,1,3.000000e-06
2,0.02,9544,code2,2,3.000000e-06
60,0.08,8105,code1,3,3.354087e+01
60,0.08,8105,code2,3,3.374918e+01
30,0.08,8105,code1,2,9.570000e-04
30,0.08,8105,code2,2,7.160000e-04
60,0.02,9544,code1,2,8.150000e-04
60,0.02,9544,code2,2,4.200000e-05
30,0.64,6573,code1,10,5.263139e+01
30,0.64,6573,code2,10,5.416447e+01
40,0.32,9544,code1,6,3.221322e+00
40,0.32,9544,code2,6,3.277721e+00
10,0.32,9806,code1,3,2.000000e-05
10,0.32,9806,code2,3,1.100000e-05
60,0.08,3401,code1,4,6.453787e+00
60,0.08,3401,code2,4,6.497007e+00
50,0.08,6757,code1,3,1.704997e+00
50,0.08,6757,code2,3,1.704734e+00
2,0.04,721,code1,1,2.000000e-06
2,0.04,721,code2,2,2.000000e-06
30,0.32,7215,code1,5,2.726000e-03
30,0.32,7215,code2,5,2.792000e-03
2,0.04,6194,code1,1,3.000000e-06
2,0.04,6194,code2,2,3.000000e-06
30,0.08,3401,code1,3,2.686000e-03
30,0.08,3401,code2,3,2.563000e-03
10,0.02,3705,code1,2,1.600000e-05
10,0.02,3705,code2,2,3.000000e-06
30,0.08,3749,code1,3,2.070000e-04
30,0.08,3749,code2,3,6.400000e-05
40,0.32,3648,code1,6,2.319521e+01
